id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11163059,Lovely Room Near UT/DT/Mueller,1195175,Elizabeth,,78722,30.29849,-97.71152,Private room,69,1,1,2016-03-21,0.01,1,0,0,
11167048,Nicely furnished Apt 10 min from DT,58095186,Shea,,78741,30.22644,-97.72202,Entire home/apt,600,4,0,,,1,0,0,
11168033,SXSW - Perfect Location,58104709,Brian,,78703,30.27895,-97.77077,Entire home/apt,999,1,0,,,1,0,0,
11177374,Modern Zen Oasis - East side home,11152728,Jon,,78702,30.27766,-97.70649,Entire home/apt,1500,2,1,2017-03-12,0.01,3,0,0,
11177690,SXSW Room! 10 mins from Downtown!,58171526,Madison,,78752,30.32897,-97.69375,Private room,200,3,0,,,1,0,0,
11180054,2/2 Disco Hideout,58186785,Turner,,78704,30.25576,-97.75636,Entire home/apt,348,2,1,2022-10-14,0.19,1,0,1,
11181782,1 Bedroom Apartment on South First,58199807,Jeff,,78704,30.23148,-97.7646,Entire home/apt,100,1,3,2016-03-22,0.04,1,0,0,
11182248,Just listed SXSW Resort Villa,58202283,Melissa,,78746,30.30112,-97.79658,Entire home/apt,1495,4,0,,,1,0,0,
11184708,Entire House - Walk to SXSW & Downtown Austin,791308,Tk,,78703,30.27433,-97.75993,Entire home/apt,229,6,67,2022-04-24,0.78,1,0,3,
11186203,"2 bdrm bungalow, 5 min Uber to dt",58230241,Kasi,,78704,30.25946,-97.75486,Entire home/apt,500,1,0,,,1,0,0,
11200939,1 Room for SXSW,1603324,Phil,,78703,30.26843,-97.75518,Private room,250,1,1,2016-03-17,0.01,1,0,0,
11205623,Downtown ATX Luxury & Privacy,58350294,Jill,,78703,30.26978,-97.7543,Entire home/apt,825,3,0,,,1,0,0,
11207672,Central Austin Luxury Cottage - Close to Downtown!,58365413,Ed,,78705,30.29676,-97.74368,Entire home/apt,890,30,41,2020-03-08,0.48,1,141,0,
11209831,Downtown West 6th,11894491,Genny,,78703,30.27961,-97.76605,Entire home/apt,250,3,0,,,1,0,0,
11218939,2nd Dist-Perfect SXSW Apt w/parking,26389845,Felipe,,78701,30.26535,-97.74532,Entire home/apt,150,1,1,2016-02-28,0.01,1,0,0,
11220453,Mid-Century Modern Home,26683428,Riley & Tony,,78746,30.29367,-97.80909,Entire home/apt,399,3,12,2021-09-06,0.16,1,0,0,
11220779,Mid-Century Modern Comfort-S. Aus10,58451875,Lois,,78748,30.17834,-97.8182,Private room,124,1,103,2022-11-27,1.19,1,361,14,
11222327,Private Austin room close to SXSW,58474262,Katherine,,78751,30.30407,-97.73316,Private room,130,1,0,,,1,0,0,
11222426,SXSW Austin TX Campus Downtown SAFE,58475050,Carrie,,78705,30.29545,-97.74269,Entire home/apt,140,3,1,2016-03-22,0.01,1,0,0,
11222686,"1-bedroom apartment 
Cherrywood / Manor rd area.",46032437,Joe,,78722,30.283972478551927,-97.70707886162563,Entire home/apt,135,3,0,,,1,208,0,
11223036,South Lamar Location Ideal for SXSW,58479162,Emily,,78704,30.23939,-97.7864,Entire home/apt,275,1,0,,,1,0,0,
11223098,Reviewed Host: Best SXSW Location,956485,Dee,,78703,30.29006,-97.77168,Private room,100,1,1,2016-03-15,0.01,1,0,0,
11226163,"Austin--5 mins downtown, greenbelt",636807,Caroline,,78746,30.2573,-97.79118,Entire home/apt,250,1,0,,,1,0,0,
11227253,"Charming S. ATX Oasis w/ Yard, Fire Pit, Parking",57332567,Josh,,78704,30.238235551111014,-97.77126999880154,Entire home/apt,213,3,2,2023-02-06,1.28,1,86,2,
11228977,Stay near South Congress for SXSW,1704374,Matt,,78704,30.23738,-97.74778,Entire home/apt,350,2,1,2016-03-15,0.01,2,0,0,
11229234,Beautiful 6 BR/4 Bath House 5 min from Downtown!,58529995,Candace,,78703,30.29624,-97.76677,Entire home/apt,1499,2,9,2022-10-24,0.11,2,311,2,
11236502,Austin $1170 / month Parking Office Kitchen 1,49009585,Roopa,,78717,30.48198,-97.78982,Private room,41,1,111,2023-02-16,1.34,7,43,16,
11237048,Cherrywood Bungalow,58589359,Chris,,78722,30.29181,-97.7104,Entire home/apt,209,2,56,2022-11-14,0.65,1,75,11,
11239535,2/2 Condo Close to the Action! Perfect for SWSWers,5831098,Ravi,,78702,30.26863,-97.73095,Entire home/apt,150,1,0,,,1,0,0,
11255530,SXSW: Fun West/Central Austin Home,2712170,Jake,,78703,30.29496,-97.76843,Entire home/apt,750,2,1,2017-03-17,0.01,1,0,0,
11256270,Room for two or three next to downtown,58739366,Jennifer,,78741,30.23629,-97.73576,Private room,170,2,1,2016-03-19,0.01,1,0,0,
11257256,East Austin Cottage / Walk Everywhere / Summer '23,76152,Taylor,,78702,30.25793,-97.73245,Entire home/apt,99,30,2,2016-05-02,0.02,1,62,0,
11259653,Townhouse in North Central,29602356,Will,,78758,30.37032,-97.69698,Private room,25,1,0,,,1,0,0,
11259781,Quiet Room in Central Austin,34611824,Shannon,,78702,30.27866,-97.71999,Private room,200,1,1,2016-03-17,0.01,2,0,0,
11260474,Private Condominium,15897554,Eugenia,,78705,30.29125,-97.74544,Private room,89,1,2,2016-03-23,0.02,1,0,0,
11260824,1-bedroom apartment for SXSW,58776805,Ariana,,78756,30.31545,-97.73726,Entire home/apt,275,1,0,,,1,0,0,
11262298,78704 Zilker Studio,58095597,Daniele,,78704,30.26078,-97.77426,Entire home/apt,125,3,0,,,1,0,0,
11274398,"Country cottage, GREAT location!",58872156,Cindy & James,,78745,30.2239,-97.8127,Entire home/apt,120,2,11,2016-05-08,0.13,1,0,0,
11274406,East/central ATX SXSW retreat,58871402,Michelle,,78702,30.26918,-97.71729,Entire home/apt,150,1,2,2017-03-14,0.02,1,0,0,
